gameweek,player_id,player_name,team_id,position_id,overall_team_strength,team_position_relevant_strength,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
5,513,Pape Matar Sarr,18,3,1170,1110,14,1,17,Sheffield Utd,15,59,73.60000000000001,52.2,117.0,1.64,16,63,84.4,54.099999999999994,134.0,1.77,1.29,1.5,79,2,0
5,516,Son Heung-min,18,3,1170,1110,14,1,17,Sheffield Utd,26,99,132.0,116.5,109.0,2.04,28,104,132.0,123.29999999999998,140.0,2.17,1.29,1.5,79,2,0
5,519,Destiny Udogie,18,2,1170,1230,14,1,17,Sheffield Utd,22,80,71.8,38.0,47.0,-1.0299999999999998,23,96,87.6,55.300000000000004,49.0,-3.0500000000000007,1.29,1.5,90,2,0
5,520,Guglielmo Vicario,18,1,1170,1230,14,1,17,Sheffield Utd,20,85,89.80000000000001,0.0,0.0,-1.5099999999999998,21,100,125.80000000000001,0.0,0.0,-3.5299999999999994,1.29,1.5,90,3,0
5,522,Nayef Aguerd,19,2,1100,1150,14,1,13,Man City,7,26,66.4,11.0,33.0,-1.5599999999999996,9,34,80.0,11.1,33.0,-2.9299999999999997,7.0,1.62,90,1,0
5,523,Michail Antonio,19,4,1100,1055,14,1,13,Man City,18,64,77.19999999999999,20.700000000000003,70.0,1.29,19,69,85.8,21.5,72.0,1.3,7.0,1.62,66,2,0
5,524,Alphonse Areola,19,1,1100,1150,14,1,13,Man City,17,66,98.2,0.0,0.0,-2.9000000000000004,20,82,119.4,0.0,0.0,-4.27,7.0,1.62,90,4,0
5,526,Jarrod Bowen,19,3,1100,1055,14,1,13,Man City,21,62,106.19999999999999,18.1,144.0,2.31,30,91,147.0,61.599999999999994,177.0,2.8800000000000003,7.0,1.62,90,2,0
5,528,Vladimír Coufal,19,2,1100,1150,14,1,13,Man City,6,41,52.4,21.2,0.0,-2.9000000000000004,8,53,72.2,45.39999999999999,0.0,-4.27,7.0,1.62,86,4,0
5,532,Emerson Palmieri dos Santos,19,2,1100,1150,14,1,13,Man City,7,35,49.0,28.200000000000003,14.0,-2.9000000000000004,8,43,69.39999999999999,54.199999999999996,18.0,-4.27,7.0,1.62,90,1,0
5,539,Lucas Tolentino Coelho de Lima,19,3,1100,1055,14,1,13,Man City,14,57,92.6,76.4,45.0,1.83,15,68,107.80000000000001,105.8,61.0,2.2199999999999998,7.0,1.62,90,1,0
5,540,Declan Rice,1,3,1365,1370,15,2,9,Everton,15,71,86.2,31.200000000000003,26.0,0.56,17,89,107.80000000000001,35.800000000000004,57.0,0.8400000000000001,1.5,1.67,90,3,0
5,542,Tomáš Souček,19,3,1100,1055,14,1,13,Man City,3,19,31.799999999999997,31.0,6.0,0.01,10,43,64.6,42.0,22.0,0.39,7.0,1.62,86,1,0
5,544,Kurt Zouma,19,2,1100,1150,14,1,13,Man City,15,63,102.8,3.2,21.0,-2.9000000000000004,17,73,122.2,3.2,21.0,-4.27,7.0,1.62,90,1,0
5,545,Rayan Aït-Nouri,20,2,1100,1115,11,1,11,Liverpool,1,13,30.0,27.1,12.0,-2.24,2,22,51.60000000000001,38.2,12.0,-3.42,6.0,1.44,64,2,0
5,551,Craig Dawson,20,2,1100,1115,11,1,11,Liverpool,5,46,49.0,11.7,38.0,-3.0300000000000002,7,61,76.0,23.0,57.0,-4.49,6.0,1.44,90,1,0
5,558,Raúl Jiménez,10,4,1055,1050,14,1,12,Luton,5,25,35.2,41.099999999999994,56.0,0.6699999999999999,6,22,35.2,42.9,62.0,0.76,1.67,1.89,61,2,0
5,559,João Victor Gomes da Silva,20,3,1100,1085,11,1,11,Liverpool,4,22,16.400000000000002,12.4,8.0,0.19,6,42,33.00000000000001,35.5,21.0,0.23,6.0,1.44,90,2,0
5,563,Max Kilman,20,2,1100,1115,11,1,11,Liverpool,8,54,48.8,26.900000000000002,0.0,-3.0999999999999996,10,65,83.4,37.7,21.0,-4.56,6.0,1.44,90,1,0
5,565,Mario Lemina,20,3,1100,1085,11,1,11,Liverpool,6,41,42.8,32.300000000000004,19.0,0.8,7,52,53.0,35.6,28.0,0.9099999999999999,6.0,1.44,77,2,0
5,567,Pedro Lomba Neto,20,3,1100,1085,11,1,11,Liverpool,19,79,89.4,136.9,60.0,1.3399999999999999,20,98,109.4,202.29999999999998,106.0,2.48,6.0,1.44,90,5,1
5,569,José Malheiro de Sá,20,1,1100,1115,11,1,11,Liverpool,15,82,141.39999999999998,0.0,0.0,-3.0999999999999996,17,94,160.39999999999998,0.0,0.0,-4.56,6.0,1.44,90,2,0
5,572,Nélson Cabral Semedo,20,2,1100,1115,11,1,11,Liverpool,5,37,43.0,18.4,2.0,-3.0999999999999996,7,54,70.6,35.7,4.0,-4.56,6.0,1.44,90,0,0
5,575,Tom Lockyer,12,2,1090,1120,14,2,10,Fulham,0,10,25.0,0.4,2.0,0.41000000000000014,0,20,38.6,0.5,2.0,-3.6899999999999995,5.5,1.89,90,2,0
5,576,Jack Robinson,17,2,1040,1060,14,2,18,Spurs,3,34,39.8,2.5,17.0,-4.97,5,44,57.0,3.1,19.0,-6.77,11.0,1.5,90,3,0
5,583,Manor Solomon,18,3,1170,1110,14,1,17,Sheffield Utd,11,41,51.2,55.4,24.0,0.43,11,41,51.2,55.4,24.0,0.43,1.29,1.5,79,1,0
5,584,Pau Torres,2,2,1160,1180,14,1,8,Crystal Palace,9,52,32.0,2.7,17.0,-1.3800000000000003,9,64,50.2,15.299999999999999,17.0,-3.74,1.91,1.89,90,2,0
5,586,Tahith Chong,12,3,1090,1060,14,2,10,Fulham,4,4,6.6,6.5,15.0,0.28,6,8,11.8,8.3,17.0,0.29,5.5,1.89,74,1,0
5,588,Ashley Young,9,2,1095,1065,15,1,1,Arsenal,3,57,48.2,114.8,7.0,-3.01,5,67,58.4,124.6,7.0,-4.51,6.0,1.67,86,1,0
5,590,Matheus Santos Carneiro Da Cunha,20,4,1100,1085,11,1,11,Liverpool,10,42,59.400000000000006,45.8,79.0,1.78,12,45,66.6,57.5,103.0,2.3,6.0,1.44,60,2,0
5,591,Willian Borges da Silva,10,3,1055,1050,14,1,12,Luton,2,3,0.0,1.2,1.0,0.08,2,3,3.0,14.399999999999999,1.0,0.12000000000000001,1.67,1.89,90,6,1
